no,Negeri,kod_daerah,kod_mukim,Daerah,sort D,sort E,Pdm,Pdm Population,note,Latitude,Longitude,Latlong,Population,Population DOSM,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Active 2020-04-20,2020-04-21,Active 2020-04-21,2020-04-22,Active 2020-04-22,2020-04-23,Active 2020-04-23,2020-04-24,Active 2020-04-24,2020-04-25,Active 2020-04-25,2020-04-26,Active 2020-04-26,2020-04-27,Active 2020-04-27,2020-04-28,Active 2020-04-28,2020-04-29,Active 2020-04-29,2020-04-30,Active 2020-04-30,2020-05-01,Active 2020-05-01,2020-05-02,Active 2020-05-02,2020-05-03,Active 2020-05-03,2020-05-04,Active 2020-05-04,2020-05-05,Active 2020-05-05,2020-05-06,Active 2020-05-06,2020-05-07,Active 2020-05-07,2020-05-08,Active 2020-05-08,2020-05-09,Active 2020-05-09,2020-05-10,Active 2020-05-10,2020-05-11,Active 2020-05-11,2020-05-12,Active 2020-05-12,2020-05-13,Active 2020-05-13,2020-05-14,Active 2020-05-14,2020-05-15,Active 2020-05-15,2020-05-16,Active 2020-05-16,2020-05-17,Active 2020-05-17,2020-05-18,Active 2020-05-18,2020-05-19,Active 2020-05-19,2020-05-20,Active 2020-05-20,2020-05-21,Active 2020-05-21,2020-05-22,Active 2020-05-22,2020-05-23,Active 2020-05-23,2020-05-24,Active 2020-05-24,2020-05-25,Active 2020-05-25,2020-05-26,Active 2020-05-26,2020-05-27,Active 2020-05-27,2020-05-28,Active 2020-05-28,2020-05-29,Active 2020-05-29,2020-05-30,Active 2020-05-30,2020-05-31,Active 2020-05-31,2020-06-01,Active 2020-06-01,2020-06-02,Active 2020-06-02,2020-06-03,Active 2020-06-03,2020-06-04,Active 2020-06-04,2020-06-05,Active 2020-06-05,2020-06-06,Active 2020-06-06,2020-06-07,Active 2020-06-07,2020-06-08,Active 2020-06-08,2020-06-09,Active 2020-06-09,2020-06-10,Active 2020-06-10,2020-06-11,Active 2020-06-11,2020-06-12,Active 2020-06-12,2020-06-13,Active 2020-06-13,2020-06-14,Active 2020-06-14,2020-06-15,Active 2020-06-15,2020-06-16,Active 2020-06-16,2020-06-17,Active 2020-06-17,2020-06-18,Active 2020-06-18,2020-06-19,Active 2020-06-19,2020-06-20,Active 2020-06-20,2020-06-21,Active 2020-06-21,2020-06-22,Active 2020-06-22,2020-06-23,Active 2020-06-23,2020-06-24,Active 2020-06-24,2020-06-25,Active 2020-06-25,2020-06-26,Active 2020-06-26,2020-06-27,Active 2020-06-27,2020-06-28,Active 2020-06-28,2020-06-29,Active 2020-06-29,2020-06-30,Active 2020-06-30,2020-06-01,Active 2020-06-1,2020-06-02,Active 2020-06-2,2020-06-03,Active 2020-06-03,Active 2020-08-26,Active 2020-08-27,Active 2020-08-27,Active 2020-08-28,Active 2020-08-29,Active 2020-08-30,Active 2020-08-31,Active 2020-09-01,Active 2020-09-02,Active 2020-09-03,Active 2020-09-04,Active 2020-09-05,Active 2020-09-06,Active 2020-09-07,Active 2020-09-08,Active 2020-09-09,Active 2020-09-10,Active 2020-09-11,Active 2020-09-12,Active 2020-09-13,Active 2020-09-14,Active 2020-09-15,Active 2020-09-16,Active 2020-09-17,Active 2020-09-18,Active 2020-09-19,Active 2020-09-20,Active 2020-09-21,Active 2020-09-22,Active 2020-09-23,Active 2020-09-24,Active 2020-09-25,Active 2020-09-26,Active 2020-09-27,Active 2020-09-28,Active 2020-09-29,Active 2020-09-30,Active 2020-10-01,Active 2020-10-02,Active 2020-10-03,Active 2020-10-04,Active 2020-10-05,Active 2020-10-06,Active 2020-10-07,Active 2020-10-08,Active 2020-10-09,Active 2020-10-10,Active 2020-10-11,Active 2020-10-12,Active 2020-10-13,Active 2020-10-14,Active 2020-10-15,Active 2020-10-16,Active 2020-10-17,Active 2020-10-18,Active 2020-10-19,Active 2020-10-20,Active 2020-10-21,Active 2020-10-22,Active 2020-10-23,Active 2020-10-24,Active 2020-10-25,Active 2020-10-26,Active 2020-10-27,Active 2020-10-28,Active 2020-10-29,Active 2020-10-30,Active 2020-10-31,Active 2020-11-01,Active 2020-11-02,Active 2020-11-03,Active 2020-11-04,Active 2020-11-05,Active 2020-11-06,Active 2020-11-07,Active 2020-11-08,Active 2020-11-09,Active 2020-11-10,Active 2020-11-11,Active 2020-11-12,Active 2020-11-13,Active 2020-11-14,Active 2020-11-15,Active 2020-11-16,Active 2020-11-17,Active 2020-11-18,Active 2020-11-19,Active 2020-11-20,Active 2020-11-21,Active 2020-11-22,Active 2020-11-23,Active 2020-11-24,Active 2020-11-25,Active 2020-11-26,Active 2020-11-27,Active 2020-11-28,Active 2020-11-29,Active 2020-11-30,Active 2020-12-01,Active 2020-12-02,Active 2020-12-03,Active 2020-12-04,Active 2020-12-05,Active 2020-12-06,Active 2020-12-07,Active 2020-12-08,Active 2020-12-09,Active 2020-12-10,Active 2020-12-11,Active 2020-12-12,Active 2020-12-13,Active 2020-12-14,Active 2020-12-15,Active 2020-12-16,Active 2020-12-17,Active 2020-12-18,Active 2020-12-19,Active 2020-12-20,Active 2020-12-21,Active 2020-12-22,Active 2020-12-23,Active 2020-12-24,Active 2020-12-25,Active 2020-12-26,Active 2020-12-27,Active 2020-12-28,Active 2020-12-29,Active 2020-12-30,Active 2020-12-31,Active 2021-01-1,Active 2021-01-2,Active 2021-01-3,Active 2021-01-4,Active 2021-01-5,Active 2021-01-6,Active 2021-01-7,Active 2021-01-8,Active 2021-01-9,Active 2021-01-10,Active 2021-01-11,Active 2021-01-12,Active 2021-01-13,Active 2021-01-14,Active 2021-01-15,Active 2021-01-16,Active 2021-01-17,Active 2021-01-18,Active 2021-01-19,Active 2021-01-20,Active 2021-01-21,Active 2021-01-22,Active 2021-01-23,Active 2021-01-24,Active 2021-01-25,Active 2021-01-26,Active 2021-01-27,Active 2021-01-28,Active 2021-01-29,Active 2021-01-30,Active 2021-01-31,Active 2021-02-01,Active 2021-02-02,Active 2021-02-03,Active 2021-02-04,Active 2021-02-05,Active 2021-02-06,Active 2021-02-07,Active 2021-02-08,Active 2021-02-09,Active 2021-02-10,Active 2021-02-11,Active 2021-02-12,Active 2021-02-13,Active 2021-02-14,Active 2021-02-15,Active 2021-02-16,Active 2021-02-17,Active 2021-02-18,Active 2021-02-19,Active 2021-02-20,Active 2021-02-21,Active 2021-02-22,Active 2021-02-23,Active 2021-02-24,Active 2021-02-25,Active 2021-02-26,Active 2021-02-27,Active 2021-02-28,Active 2021-03-01,Active 2021-03-02,Active 2021-03-03,Active 2021-03-04,Active 2021-03-05,Active 2021-03-06,Active 2021-03-07,Active 2021-03-08,Active 2021-03-09,Active 2021-03-10,Active 2021-03-11,Active 2021-03-12,Active 2021-03-13,Active 2021-03-14,Active 2021-03-15,Active 2021-03-16,Active 2021-03-17,Active 2021-03-18,Active 2021-03-19,Active 2021-03-20,Active 2021-03-21,Active 2021-03-22,Active 2021-03-23,Active 2021-03-24,Active 2021-03-25,Active 2021-03-26,Active 2021-03-27,Active 2021-03-28,Active 2021-03-29,Active 2021-03-30,Active 2021-03-31,Active 2021-04-01,Active 2021-04-02,Active 2021-04-03,Active 2021-04-04,Active 2021-04-05,Active 2021-04-06,Active 2021-04-07,Active 2021-04-08,Active 2021-04-09,Active 2021-04-10,Active 2021-04-11,Active 2021-04-12,Active 2021-04-13,Active 2021-04-14,Active 2021-04-15,Active 2021-04-16,Active 2021-04-17,Active 2021-04-18,Active 2021-04-19,Active 2021-04-20,Active 2021-04-21,Active 2021-04-22,Active 2021-04-23,Active 2021-04-24,Active 2021-04-25,Active 2021-04-26,Active 2021-04-27,Active 2021-04-28,Active 2021-04-29,Active 2021-04-30,Active 2021-04-31,Active 2021-04-32,Active 2021-04-33,Active 2021-04-34,Active 2021-04-35,Active 2021-04-36,Active 2021-04-37,Active 2021-04-38,Active 2021-04-39,Active 2021-04-40,Active 2021-04-41,Active 2021-04-42
0,TOTAL ,,,,1,1,,,,,,,,,1061,1297,8,1626,1792,2031,2161,2320,2470,2626,2766,2908,3116,3333,3483,3662,3793,3963,4119,4228,4346,4530,4683,4817,4987,5072,5182,5251,"5,305",5389,5425,2041,5482,2041,5532,1987,5603,1966,5691,1930,5742,1882,5780,1836,5832,1719,5851,1719,5945,1758,6008,1729,6077,1758,6182,1747,6320,1780,6375,1764,6389,1710,6434,1619,6559,1584,6628,1564,6595,1552,6661,1523,6731,1504,6747,1410,6784,1387,6613,1012,6649,967,6831,1076,4203,582,3814,488,3970,548,4137,524,4243,489,4351,432,4389,442,4268,473,4486,500,4492,468,4492,458,4495,405,7450,1106,7472,1079,7572,1098,7586,1060,4543,394,4581,416,4585,399,4759,419,4777,406,4785,389,4787,389,4787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,112,102,91,69,62,54,59,49,59,57,54,55,105,182,195,237,416,468,510,536,541,597,0,690,705,742,735,723,844,867,790,803,890,962,1027,1029,1038,1413,1673,1895,2243,2824,3155,3439,0,4015,4424,4820,5341,5921,6271,6612,7197,7796,8246,8431,8686,9162,9533,10397,10646,11314,11514,11660,11709,11676,11626,11757,11741,11846,12152,12316,13355,13285,13301,13012,13063,13077,13392,13898,14318,14549,14804,14945,14596,14889,14123,14001,14283,15217,16544,16663,16671,16470,16709,16886,16926,17210,17393,17180,17351,17420,17656,17365,16184,16168,17512,18153,18773,18678,18770,19104,19544,19683,20024,20065,20109,20470,21489,21868,21146,20550,20936,20873,21087,21115,21681,22944,23477,24165,24921,24606,24508,25694,27151,28554,28413,29818,30514,31849,32868,33687,36066,36495,37864,38104,38533,39670,39736,40634,43318,43345,44473,45367,46226,47243,49155,51078,53116,53483,53456,51971,51350,49935,54291,54613,54787,53907,53544,52935,50809,48310,45452,44146,43615,42751,41230,40635,39082,38776,37212,37394,37970,36260,35169,34410,34356,34030,32848,31653,30939,30236,29806,28176,27628,26637,24535,24242,23582,22681,21551,20988,20545,20020,19084,18290,18080,17683,17321,17275,17065,16938,16555,16337,16160,15902,15865,16162,16389,16350,16407,16457,16445,16246,16106,15989,16535,16761,17384,17737,18495,18844,19758,20990,21471,22564,23469,24547,25803,27508,,,,,,,,,,,,,,,,,,,,
,TOTAL JOHOR,,,,2,2,,,,,,,,,128,138,0,162,196,239,254,285,309,333,349,368,395,416,422,438,468,478,496,503,523,544,558,579,587,601,614,623,639,642,644,264,645,264,648,267,651,269,655,272,655,270,659,273,621,239,622,235,622,234,622,226,622,210,622,210,622,190,622,183,622,178,622,167,622,156,622,143,622,137,622,129,622,121,622,117,622,124,623,111,623,107,623,103,668,129,668,116,669,114,669,112,669,104,669,82,670,74,503,74,671,72,671,69,671,39,671,32,626,25,627,27,675,23,675,16,676,11,676,9,676,8,676,7,676,6,676,6,676,3,676,3,677,4,677,4,678,4,680,6,680,6,683,8,684,9,684,9,686,10,686,10,686,9,687,10,689,10,689,9,688,8,689,9,691,10,691,10,691,8,691,8,691,3,691,3,0,0,0,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,13,13,15,16,19,20,22,0,27,27,29,29,23,19,22,23,22,22,19,19,18,17,22,36,38,43,49,59,68,66,66,73,74,75,74,74,72,58,61,59,60,59,53,68,69,67,80,82,97,102,131,139,148,161,182,234,262,288,319,364,415,513,574,635,668,783,868,956,1026,1066,1102,1166,1233,1222,1203,1206,1197,1203,1212,1247,1425,1464,1482,1497,1635,1933,2028,2173,2108,2609,2736,2772,3275,3294,3313,3585,4036,4983,5108,4987,5113,5441,5769,5695,5958,6376,6510,6687,6707,5820,5665,4997,5148,5286,5340,5668,5904,6601,6929,7040,7201,7871,8002,8188,8374,8544,8681,8788,8724,8648,8651,7961,7916,8115,7925,7414,7263,7219,7058,6933,7049,6750,6873,6613,6531,6488,5974,5507,5228,5077,5297,5009,4947,4777,4511,4419,4145,4073,3815,3739,3646,3506,3316,3094,2724,2651,2442,2334,2006,1995,1978,1946,1941,1812,1775,1762,1741,1795,1791,1792,1713,1875,1699,1589,1597,1564,1488,1446,1419,1400,1396,1284,1232,1201,1197,1214,1233,1245,1533,1589,1602,1643,1681,,,,,,,,,,,,,,,,,,,,
,TOTAL KEDAH,,,,3,3,,,,,,,,,47,52,0,64,69,72,73,74,75,77,77,79,80,81,81,82,85,90,91,93,93,93,93,93,93,94,94,94,94,94,94,7,94,7,95,8,95,8,95,5,95,5,95,5,93,5,95,4,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,94,0,94,0,94,0,94,0,95,0,94,0,94,0,94,0,0,0,0,0,0,0,95,1,95,1,95,1,95,1,95,1,95,1,95,1,95,1,97,1,97,1,97,1,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,77,68,57,43,39,35,34,27,31,29,25,23,27,43,54,58,71,76,89,88,86,87,0,89,97,100,97,85,74,74,68,63,49,49,49,59,149,278,369,479,719,1106,1258,1270,0,1300,1316,1325,1385,1487,1421,1300,1238,1134,900,516,370,357,348,397,382,375,319,234,240,188,188,180,187,121,139,146,164,106,108,100,100,89,91,85,86,93,101,84,85,90,120,93,123,151,160,167,188,209,217,260,283,292,305,330,327,347,349,329,325,317,306,303,302,263,236,235,224,198,186,173,198,146,140,137,126,107,103,111,115,99,107,115,117,132,173,187,219,232,256,361,412,438,459,508,553,608,694,748,782,779,841,917,1000,1069,1093,1122,1159,1186,1201,1212,1171,1166,1124,1082,1030,1031,957,895,850,798,754,716,692,811,928,947,973,958,946,869,1011,971,992,980,970,938,907,710,545,464,430,412,379,386,218,215,169,164,158,166,166,163,171,169,176,183,205,193,205,217,242,257,271,296,330,351,356,373,372,366,363,372,364,357,336,352,347,324,301,306,292,302,318,339,359,384,386,397,424,426,441,457,482,549,,,,,,,,,,,,,,,,,,,,
,TOTAL KELANTAN,,,,4,4,,,,,,,,,61,63,0,78,84,94,98,108,123,127,131,134,137,137,139,141,142,147,147,148,149,151,152,154,154,154,155,155,155,155,155,8,155,7,155,7,155,6,155,5,155,5,155,21,148,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,0,0,0,0,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,1,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,5,5,0,5,5,5,5,3,3,3,1,1,1,1,0,3,3,3,4,4,4,4,4,4,5,5,7,7,8,6,6,6,6,8,17,18,19,24,26,26,28,47,48,63,69,76,83,90,85,92,115,115,129,134,128,123,123,114,128,156,150,144,141,145,125,122,105,99,98,91,89,92,72,47,46,47,49,37,41,41,83,112,138,166,217,234,278,290,330,377,377,412,488,529,542,607,668,718,740,784,808,906,959,1044,1121,1208,1278,1392,1402,1377,1371,1362,1349,1314,1320,1226,1164,1076,985,892,806,704,676,634,579,562,539,550,552,552,590,573,560,560,557,530,553,555,538,520,524,507,485,519,484,486,509,509,488,514,482,461,470,443,419,409,400,379,371,363,379,369,366,351,381,395,413,461,492,531,572,659,665,685,668,705,656,723,685,720,703,765,752,759,817,837,899,911,972,1140,1325,1440,1594,1897,2142,2469,2798,3386,,,,,,,,,,,,,,,,,,,,
,TOTAL MELAKA,,,,5,5,,,,,,,,,22,23,0,28,31,31,31,42,43,50,52,63,70,73,75,89,99,103,116,119,133,141,144,144,147,147,147,148,148,185,187,111,188,109,189,97,189,90,192,83,192,76,193,73,191,70,193,67,193,67,154,30,154,24,154,24,159,22,160,21,160,18,161,18,161,17,161,17,162,17,162,17,163,18,163,17,165,18,166,19,167,17,167,16,87,15,87,12,87,10,87,9,87,9,161,8,161,6,161,6,161,6,163,4,161,4,161,4,216,3,218,2,219,3,219,3,219,3,219,3,219,3,219,3,219,3,219,3,219,4,219,4,219,4,219,4,219,4,219,4,219,4,219,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,2,5,5,5,6,8,11,12,13,29,29,32,34,34,36,33,34,34,33,31,28,27,28,12,13,13,16,17,16,21,23,23,29,37,50,56,56,57,52,56,52,53,51,52,48,50,44,36,23,17,17,16,14,10,11,9,13,12,13,11,12,15,15,16,21,22,25,28,124,153,152,149,151,158,280,353,366,369,385,396,400,405,544,535,627,626,643,658,545,475,522,564,579,595,607,670,515,1554,496,548,636,727,709,785,785,1581,1023,1271,1353,1329,1330,1216,1370,1408,1314,1278,1234,1378,1443,1508,1660,1920,2009,1994,1992,1966,1956,1848,1778,1747,1712,1495,1378,1100,845,517,365,326,282,256,243,240,227,218,210,193,172,155,116,107,86,86,69,89,73,67,62,65,60,66,105,114,122,127,170,211,217,211,244,244,251,252,289,272,293,248,245,259,221,183,184,180,163,162,161,172,151,150,134,125,122,107,109,166,192,,,,,,,,,,,,,,,,,,,,
,TOTAL NEGERI SEMBILAN,,,,6,6,,,,,,,,,70,78,0,109,123,132,138,153,162,172,181,189,207,211,220,231,239,261,270,281,292,309,318,360,362,363,389,402,405,405,408,114,409,100,411,92,421,109,433,107,433,95,434,88,435,77,436,76,436,59,424,44,424,37,432,36,453,53,458,53,458,47,460,47,460,47,513,100,541,126,586,170,594,177,593,181,616,198,627,203,628,200,776,318,776,269,628,195,776,267,776,258,778,214,791,188,792,175,792,161,792,151,793,124,793,119,793,87,690,101,692,104,695,100,697,99,698,97,734,131,736,123,905,145,910,145,911,141,911,141,911,136,911,107,927,112,931,89,957,99,957,97,989,114,992,113,992,83,992,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,5,5,5,5,5,5,5,5,5,5,1,1,1,1,0,0,0,0,0,1,1,0,3,3,10,11,12,21,22,22,24,26,30,33,69,102,198,202,223,354,373,404,410,417,422,433,487,523,572,576,522,592,823,826,1024,1221,1292,1646,1681,1755,1762,1753,1700,1811,1888,1825,1620,1558,1658,1575,1663,1339,1331,1376,1456,1482,1501,1366,1257,1485,1984,1934,1647,1554,1451,1452,1449,1558,1465,1467,1443,1506,1511,1369,886,919,918,931,911,896,905,804,806,774,820,789,898,842,846,883,974,961,996,1312,1399,1351,1374,1436,1516,1530,1607,1774,1247,1298,1369,1414,1494,1537,1604,1612,1655,1650,1546,1550,1491,1365,1336,1315,1319,1307,1271,1295,1266,1273,1240,1305,1336,1384,1297,1292,1339,1319,1423,1422,1495,1453,1481,1444,1453,2684,2660,2610,2627,2654,2684,2737,2533,2540,2432,2437,2369,2398,2346,980,1007,974,907,864,746,654,658,596,534,472,445,494,362,407,362,342,377,367,334,357,354,356,365,365,364,338,342,317,294,308,284,295,299,288,306,304,329,363,384,428,429,417,444,,,,,,,,,,,,,,,,,,,,
,TOTAL PAHANG,,,,7,7,,,,,,,,,37,40,0,56,64,66,70,84,96,99,102,111,114,127,151,158,161,166,169,183,187,214,225,225,236,253,261,262,264,269,271,90,279,91,285,94,286,88,287,85,288,84,288,80,288,62,288,60,293,55,294,55,297,49,305,56,305,56,305,55,305,47,305,42,305,40,306,33,306,31,308,28,312,27,312,21,315,28,323,27,328,32,335,39,336,35,336,35,338,35,338,34,339,30,341,30,344,32,344,32,344,24,344,22,344,45,345,36,346,13,346,13,361,28,361,23,361,22,361,21,362,21,363,21,363,21,363,21,363,21,363,19,363,19,363,19,363,18,365,12,365,12,365,4,365,2,365,2,365,2,365,2,365,2,365,2,365,2,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,0,3,2,2,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,3,3,4,4,3,3,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5,20,22,25,26,59,177,220,315,394,422,421,429,441,441,431,440,447,453,424,350,319,232,171,145,155,432,466,476,484,500,506,506,520,483,480,481,491,517,537,341,433,506,535,547,581,364,364,391,420,458,502,531,543,540,550,598,618,630,644,657,700,682,686,689,659,635,620,636,608,557,520,482,424,392,350,347,360,334,331,306,285,262,256,255,250,242,244,237,221,247,202,188,162,163,159,154,147,132,116,117,110,118,117,84,87,89,80,78,117,153,194,199,199,222,248,235,249,281,282,328,356,356,338,310,290,288,301,282,274,303,299,276,295,284,263,266,269,273,316,333,,,,,,,,,,,,,,,,,,,,
,TOTAL PULAU PINANG,,,dir,8,8,,,,,,,,,50,58,8,68,70,74,80,86,87,88,94,96,98,98,99,101,101,102,108,108,109,114,116,116,119,119,119,119,119,119,119,13,119,13,119,11,119,10,119,7,119,7,121,8,121,8,121,5,121,4,121,2,121,2,121,2,121,2,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,9,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,10,8,7,4,4,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,0,5,5,5,4,4,4,4,4,4,4,4,4,3,1,1,2,2,2,3,9,10,0,20,21,162,183,200,216,249,437,481,507,513,518,527,556,577,672,573,569,572,552,398,355,378,373,401,412,439,592,588,509,482,495,502,552,559,591,610,615,613,606,578,411,410,407,385,373,361,316,338,396,397,430,426,470,505,524,554,570,611,615,629,653,623,633,616,588,592,601,638,628,613,612,575,580,595,591,582,538,549,587,611,611,623,812,1071,1144,1181,1218,1253,1327,1377,1592,1744,1787,2047,2073,2307,2409,2303,2134,2177,2246,2310,2404,2484,2571,2384,2301,2290,2172,2074,1939,1843,1789,1788,1725,1718,1750,1703,1722,1808,1927,1940,1898,1935,1988,2021,1978,2003,1949,1952,1954,1851,1726,1594,1520,1542,1578,1590,1531,1530,1578,1563,1603,1594,1810,1741,1738,1794,1727,1727,1730,1741,1756,1803,1842,1894,1964,1950,1680,1659,1697,1677,1697,1658,1660,1611,1644,1571,1626,1660,1679,1815,2005,2083,2083,2143,2129,2152,2145,2208,2271,2235,2223,2158,2088,1986,1920,1921,1801,1793,1699,1558,1657,1701,,,,,,,,,,,,,,,,,,,,
,TOTAL PERAK,,,,9,9,,,,,,,,,55,66,0,98,127,151,159,165,176,184,189,194,200,205,207,213,219,233,237,241,242,243,244,247,250,250,251,252,252,252,252,18,251,15,252,15,252,14,252,14,252,10,252,7,252,7,253,2,253,2,253,0,253,0,253,0,253,0,253,0,253,0,253,0,253,0,253,0,253,0,255,2,255,2,255,2,261,4,255,2,255,2,255,11,248,2,248,2,248,20,248,2,248,20,248,2,248,2,248,2,248,0,248,0,248,0,248,0,255,0,256,1,249,1,249,1,249,1,249,1,249,1,249,1,249,1,249,1,249,1,249,1,249,1,249,1,252,1,252,1,253,1,253,1,253,1,253,1,253,1,253,1,253,1,253,1,254,2,254,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,13,0,15,16,20,36,39,91,99,103,113,128,130,132,142,143,151,155,159,154,157,106,107,106,101,86,79,74,66,82,112,114,157,158,166,173,175,187,197,310,348,361,398,401,392,440,470,570,636,705,733,883,944,866,838,857,844,862,862,913,884,801,752,787,757,654,680,639,794,796,813,836,889,791,756,738,715,623,667,630,553,535,441,446,427,389,312,357,363,368,386,391,409,179,447,445,655,660,699,733,756,763,570,627,715,884,982,1105,1078,1119,1132,1259,1292,1301,1364,1365,1393,1378,1366,1244,1191,1058,1077,1041,1032,890,1141,836,766,756,675,657,605,709,716,730,1794,1830,1985,2144,2184,2617,2860,3007,3046,3051,3134,2998,2997,3012,1932,1888,1718,1611,1561,1093,850,674,648,625,520,508,537,523,505,482,459,413,418,409,393,376,349,351,338,332,244,702,703,696,755,734,713,720,744,763,778,787,822,846,875,424,431,466,436,451,481,,,,,,,,,,,,,,,,,,,,
,TOTAL PERLIS,,,,10,10,,,,,,,,,9,9,0,9,10,10,10,10,10,11,12,12,12,12,12,13,13,17,17,17,17,17,17,17,18,18,18,18,18,18,18,4,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,12,12,13,15,15,26,39,51,53,55,63,67,62,62,62,63,65,64,66,55,42,30,29,26,21,13,13,12,14,13,10,9,7,7,7,7,6,6,6,6,9,9,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,2,2,2,6,6,6,6,6,5,5,5,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,4,5,8,8,11,12,12,,,,,,,,,,,,,,,,,,,,
