Tahun	Minggu	Negeri	Daerah/Zon/PBT	Lokaliti	Jumlah Kes Terkumpul	Tempoh Wabak Berlaku (Hari)
2011	1	Selangor	MPAJ (GB)	Taman Ukay Perdana (Zon 1)	19	57
2011	1	Selangor	MPS (GB)	Kg Melayu Bt 16 Rawang	6	43
2011	1	Selangor	MPS (GB)	Kg Baru Sg Terentang	13	38
2011	1	WPKL	Cheras	Taman Miharja ( Fasa 1)	9	32
2011	1	Pahang	Kuantan	Taman Tas Selatan	14	40
2011	2	Selangor	MPAJ (GB)	Taman Ukay Perdana (Zon 1)	19	64
2011	2	Selangor	MPS (GB)	Kg Baru Sg Terentang	17	45
2011	2	Selangor	MPSJ (PT)	Serdang Raya (Sr 5 & Sr 6 )	10	36
2011	2	Selangor	K.Selangor	Teratai Bandar Baru Kuala Selangor	6	36
2011	2	Selangor	MPS (GB)	Taman Belmas Johan	7	34
2011	2	Selangor	MPS (GB)	Taman Tun Teja Apartment Rawang	10	33
2011	2	WPKL	Cheras	Taman Miharja ( Fasa 1)	15	39
2011	2	WPKL	Cheras	Miharja Kondominium Fasa 3A	8	31
2011	2	Pahang	Kuantan	Taman Tas Selatan	14	46
2011	2	Johor	MBJB	Taman Molek Jln Molek 3	19	36
2011	3	Selangor	MPS (GB)	Kg Baru Sg Terentang	19	52
2011	3	Selangor	MPS (GB)	Taman Tun Teja Apartment Rawang	13	40
2011	3	WPKL	Cheras	Taman Miharja ( Fasa 1)	12	46
2011	3	WPKL	Cheras	Miharja Kondominium Fasa 3A	8	38
2011	3	Johor	MBJB	Taman Molek Jln Molek 3	19	43
2011	3	Johor	MPJBT	Kg Baru Gelang Patah	8	35
2011	3	P. Pinang	Barat Daya	"Pintasan Bahagia, Bagan Lepas"	6	30
2011	4	Selangor	MPS (GB)	Kg Baru Sg Terentang	26	59
2011	4	Selangor	MPS (GB)	Taman Tun Teja Apartment Rawang	16	47
2011	4	WPKL	Cheras	Taman Miharja ( Fasa 1)	13	53
2011	4	WPKL	Cheras	Miharja Kondominium Fasa 3A	8	45
2011	4	Johor	MPPG	Flat Taman Cendana	7	30
2011	4	Terengganu	K.Terengganu	Kg Duyung Besar	17	36
2011	5	Selangor	MPS (GB)	Kg Baru Sg Terentang	28	66
2011	5	Selangor	MPS (GB)	Taman Tun Teja Apartment Rawang	19	54
2011	5	Selangor	MPS (GB)	Las Palmas Apartment Bandar Country Homes	4	33
2011	5	Selangor	MPAJ (GB)	Taman Al-Ridzuan (Zon A)	7	32
2011	5	Selangor	MPS (GB)	Taman Muhibbah Rawang	6	30
2011	5	WPKL	Cheras	Taman Miharja ( Fasa 1)	14	60
2011	5	Terengganu	K.Terengganu	Kg Duyung Besar	17	43
2011	6	Selangor	MPS (GB)	Kg Baru Sg Terentang	30	73
2011	6	Selangor	MPS (GB)	Taman Tun Teja Apartment Rawang	19	61
2011	6	Selangor	MPAJ (GB)	Taman Al-Ridzuan (Zon A)	7	39
2011	6	Selangor	MPS (GB)	Taman Muhibbah Rawang	6	37
2011	6	Selangor	Gombak	Selayang Baru K4	16	30
2011	6	Selangor	MPSJ (PT)	Taman Puchong Perdana (Jln Perdana 4)	4	30
2011	6	WPKL	Cheras	Taman Miharja ( Fasa 1)	17	67
2011	6	Pahang	Maran	Rantau Perintis	14	34
2011	7	Selangor	MPS (GB)	Kg Baru Sg Terentang	31	80
2011	7	Selangor	MPS (GB)	Taman Tun Teja Apartment Rawang	20	68
2011	7	Selangor	MPS (GB)	Taman Muhibbah Rawang	7	44
2011	7	Selangor	Gombak	Selayang Baru K4	18	37
2011	7	Selangor	MPAJ (GB)	Taman Ukay Perdana ( Zon 2)	16	35
2011	7	WPKL	Cheras	Taman Miharja ( Fasa 1)	17	74
2011	7	Johor	MBJB	Taman Gembira	4	31
2011	8	Selangor	MPS (GB)	Kg Baru Sg Terentang	32	87
