Kumpulan Umur,2014,2015,2016,2017,2018,2019,2020,Jumlah
6 - 10,3,13,14,13,12,11,8,74
11 - 15,225,249,266,260,245,236,191,1672
16 - 20,777,790,846,830,781,751,607,5382
21 - 25,611,594,634,621,584,562,454,4060
26 - 30,330,330,352,345,325,313,253,2248
31 - 35,279,307,328,321,302,291,235,2063
36 - 40,315,251,268,262,247,238,192,1773
41 - 45,189,195,208,204,192,185,149,1322
46 - 50,204,194,207,203,191,184,149,1332
51 - 55,186,199,213,208,196,189,153,1344
56 - 60,167,123,131,128,120,116,94,879
61 - 65,174,172,184,180,169,163,132,1174
66 - 70,134,196,209,205,193,186,150,1273
71 - 75,106,111,119,116,109,106,86,753
> 75,80,92,98,95,89,86,69,609
Jumlah,3780,3816,4077,3991,3755,3617,2922,25958
*Tajuk,Jumlah kematian penunggang motosikal mengikut pecahan umur dari 2014 hingga 2020,,,,,,,
*Sumber,Jabatan Siasatan dan Penguatkuasaan Trafik Bukit Aman,,,,,,,
*Sumber,https://twitter.com/shahrimtamrin/status/1514256118520123403,,,,,,,
