agegroup,year,value,age_min,age_max,yob_min,yob_max,age_min_current,age_max_current
6 - 10,2014,3,6,10,2004,2008,14,18
6 - 10,2015,13,6,10,2005,2009,13,17
6 - 10,2016,14,6,10,2006,2010,12,16
6 - 10,2017,13,6,10,2007,2011,11,15
6 - 10,2018,12,6,10,2008,2012,10,14
6 - 10,2019,11,6,10,2009,2013,9,13
6 - 10,2020,8,6,10,2010,2014,8,12
11 - 15,2014,225,11,15,1999,2003,19,23
11 - 15,2015,249,11,15,2000,2004,18,22
11 - 15,2016,266,11,15,2001,2005,17,21
11 - 15,2017,260,11,15,2002,2006,16,20
11 - 15,2018,245,11,15,2003,2007,15,19
11 - 15,2019,236,11,15,2004,2008,14,18
11 - 15,2020,191,11,15,2005,2009,13,17
16 - 20,2014,777,16,20,1994,1998,24,28
16 - 20,2015,790,16,20,1995,1999,23,27
16 - 20,2016,846,16,20,1996,2000,22,26
16 - 20,2017,830,16,20,1997,2001,21,25
16 - 20,2018,781,16,20,1998,2002,20,24
16 - 20,2019,751,16,20,1999,2003,19,23
16 - 20,2020,607,16,20,2000,2004,18,22
21 - 25,2014,611,21,25,1989,1993,29,33
21 - 25,2015,594,21,25,1990,1994,28,32
21 - 25,2016,634,21,25,1991,1995,27,31
21 - 25,2017,621,21,25,1992,1996,26,30
21 - 25,2018,584,21,25,1993,1997,25,29
21 - 25,2019,562,21,25,1994,1998,24,28
21 - 25,2020,454,21,25,1995,1999,23,27
26 - 30,2014,330,26,30,1984,1988,34,38
26 - 30,2015,330,26,30,1985,1989,33,37
26 - 30,2016,352,26,30,1986,1990,32,36
26 - 30,2017,345,26,30,1987,1991,31,35
26 - 30,2018,325,26,30,1988,1992,30,34
26 - 30,2019,313,26,30,1989,1993,29,33
26 - 30,2020,253,26,30,1990,1994,28,32
31 - 35,2014,279,31,35,1979,1983,39,43
31 - 35,2015,307,31,35,1980,1984,38,42
31 - 35,2016,328,31,35,1981,1985,37,41
31 - 35,2017,321,31,35,1982,1986,36,40
31 - 35,2018,302,31,35,1983,1987,35,39
31 - 35,2019,291,31,35,1984,1988,34,38
31 - 35,2020,235,31,35,1985,1989,33,37
36 - 40,2014,315,36,40,1974,1978,44,48
36 - 40,2015,251,36,40,1975,1979,43,47
36 - 40,2016,268,36,40,1976,1980,42,46
36 - 40,2017,262,36,40,1977,1981,41,45
36 - 40,2018,247,36,40,1978,1982,40,44
36 - 40,2019,238,36,40,1979,1983,39,43
36 - 40,2020,192,36,40,1980,1984,38,42
41 - 45,2014,189,41,45,1969,1973,49,53
41 - 45,2015,195,41,45,1970,1974,48,52
41 - 45,2016,208,41,45,1971,1975,47,51
41 - 45,2017,204,41,45,1972,1976,46,50
41 - 45,2018,192,41,45,1973,1977,45,49
41 - 45,2019,185,41,45,1974,1978,44,48
41 - 45,2020,149,41,45,1975,1979,43,47
46 - 50,2014,204,46,50,1964,1968,54,58
46 - 50,2015,194,46,50,1965,1969,53,57
46 - 50,2016,207,46,50,1966,1970,52,56
46 - 50,2017,203,46,50,1967,1971,51,55
46 - 50,2018,191,46,50,1968,1972,50,54
46 - 50,2019,184,46,50,1969,1973,49,53
46 - 50,2020,149,46,50,1970,1974,48,52
51 - 55,2014,186,51,55,1959,1963,59,63
51 - 55,2015,199,51,55,1960,1964,58,62
51 - 55,2016,213,51,55,1961,1965,57,61
51 - 55,2017,208,51,55,1962,1966,56,60
51 - 55,2018,196,51,55,1963,1967,55,59
51 - 55,2019,189,51,55,1964,1968,54,58
51 - 55,2020,153,51,55,1965,1969,53,57
56 - 60,2014,167,56,60,1954,1958,64,68
56 - 60,2015,123,56,60,1955,1959,63,67
56 - 60,2016,131,56,60,1956,1960,62,66
56 - 60,2017,128,56,60,1957,1961,61,65
56 - 60,2018,120,56,60,1958,1962,60,64
56 - 60,2019,116,56,60,1959,1963,59,63
56 - 60,2020,94,56,60,1960,1964,58,62
61 - 65,2014,174,61,65,1949,1953,69,73
61 - 65,2015,172,61,65,1950,1954,68,72
61 - 65,2016,184,61,65,1951,1955,67,71
61 - 65,2017,180,61,65,1952,1956,66,70
61 - 65,2018,169,61,65,1953,1957,65,69
61 - 65,2019,163,61,65,1954,1958,64,68
61 - 65,2020,132,61,65,1955,1959,63,67
66 - 70,2014,134,66,70,1944,1948,74,78
66 - 70,2015,196,66,70,1945,1949,73,77
66 - 70,2016,209,66,70,1946,1950,72,76
66 - 70,2017,205,66,70,1947,1951,71,75
66 - 70,2018,193,66,70,1948,1952,70,74
66 - 70,2019,186,66,70,1949,1953,69,73
66 - 70,2020,150,66,70,1950,1954,68,72
71 - 75,2014,106,71,75,1939,1943,79,83
71 - 75,2015,111,71,75,1940,1944,78,82
71 - 75,2016,119,71,75,1941,1945,77,81
71 - 75,2017,116,71,75,1942,1946,76,80
71 - 75,2018,109,71,75,1943,1947,75,79
71 - 75,2019,106,71,75,1944,1948,74,78
71 - 75,2020,86,71,75,1945,1949,73,77
> 75,2014,80,76,100,1914,1938,84,108
> 75,2015,92,76,100,1915,1939,83,107
> 75,2016,98,76,100,1916,1940,82,106
> 75,2017,95,76,100,1917,1941,81,105
> 75,2018,89,76,100,1918,1942,80,104
> 75,2019,86,76,100,1919,1943,79,103
> 75,2020,69,76,100,1920,1944,78,102
