City,Year,Drove_Alone,Carpooled,Public_Transportation,Walked,Bicycle,Taxi_Motorcycle,Work_at_Home
Los Angeles,2014,1194792,173981,193510,63911,19528,28405,102193
Los Angeles,2013,1169968,176105,191798,64513,19179,26154,97642
Los Angeles,2012,1169698,179819,193785,64595,17458,24410,96019
Los Angeles,2011,1170628,182910,188130,64454,15678,24388,92326
Los Angeles,2010,1176375,188779,192275,61178,13983,24471,90893
San Francisco,2014,165314,34250,150244,47037,17353,10503,32423
San Francisco,2013,165479,33543,145801,44724,15653,9839,31307
San Francisco,2012,165776,35178,142471,43532,14950,9234,30780
San Francisco,2011,164460,34026,142649,42751,13523,9160,29664
San Francisco,2010,165229,34260,141377,42500,13010,8673,28622
New York City,2014,822821,177907,2113347,379800,37604,63926,150416
New York City,2013,828864,181314,2068460,377429,33302,62904,148011
New York City,2012,836673,184289,2049297,379635,29486,62658,143745City
New York City,2011,834144,190243,2026823,376828,25609,62194,142682
New York City,2010,837523,196635,2010055,371423,25489,65545,138373
Boston,2014,126543,20968,109104,48163,6225,2948,12122
Boston,2013,123546,22580,107418,49031,5806,2903,11935
Boston,2012,122403,23220,104916,48007,5404,2861,11445
Boston,2011,121554,21761,102901,46321,4663,2797,10880
Boston,2010,119404,23448,101509,45972,4319,3085,10181
Seattle ,2014,185236,30509,71188,33778,13438,4721,24335
Seattle ,2013,183058,31279,68247,31990,12440,4620,23104
Seattle ,2012,180640,32936,63835,29540,9507,4074,19354
Seattle ,2011,181839,32999,63592,30593,10312,4124,20280
Seattle ,2010,180640,32936,63835,29540,9507,4074,19354
Chicago,2014,609654,108735,332316,81857,17104,18326,53757
Chicago,2013,608528,112511,323016,79846,15727,18146,52021
Chicago,2012,610592,116534,324111,77689,15780,18208,50983
Chicago,2011,611945,118989,326613,74064,14570,18212,49781
Chicago,2010,620629,121931,324336,70720,13412,18289,48772
Houston,2014,775255,124612,43920,20428,5107,19406,32685
Houston,2013,765510,122920,42972,20986,4996,17988,32978
Houston,2012,765510,122920,42972,20986,4996,17988,32978
Houston,2011,735481,127483,45109,20593,3922,16670,30399
Houston,2010,718507,130725,46480,21303,3873,17430,30018
Detroit,2014,141216,25064,18135,6724,815,4075,6724
Detroit,2013,141740,25072,17591,6874,808,3841,6268
Detroit,2012,148606,24942,18444,6497,628,3982,6497
Detroit,2011,156920,24845,18743,6538,653,3923,6320
Detroit,2010,165994,26221,18013,6840,684,3648,6484
Miami,2014,126948,17244,20913,8255,1651,2201,6053
Miami,2013,121693,18094,20045,7628,1596,1951,6208
Miami,2012,121279,18253,20008,6845,1228,2106,5791
Miami,2011,212396,18716,19066,6647,1049,2623,5422
Miami,2010,120901,17147,20265,6235,866,2771,5196
